price,brand,model,year,title_status,mileage,color,state
6300,toyota,cruiser,2008,clean vehicle,274117,black,new jersey
2899,ford,se,2011,clean vehicle,190552,silver,tennessee
5350,dodge,mpv,2018,clean vehicle,39590,silver,georgia
25000,ford,door,2014,clean vehicle,64146,blue,virginia
27700,chevrolet,1500,2018,clean vehicle,6654,red,florida
5700,dodge,mpv,2018,clean vehicle,45561,white,texas
7300,chevrolet,pk,2010,clean vehicle,149050,black,georgia
13350,gmc,door,2017,clean vehicle,23525,gray,california
14600,chevrolet,malibu,2018,clean vehicle,9371,silver,florida
5250,ford,mpv,2017,clean vehicle,63418,black,texas
10400,dodge,coupe,2009,clean vehicle,107856,orange,georgia
12920,gmc,mpv,2017,clean vehicle,39650,white,california
31900,chevrolet,1500,2018,clean vehicle,22909,black,tennessee
5430,chrysler,wagon,2017,clean vehicle,138650,gray,texas
20700,ford,door,2013,clean vehicle,100757,black,virginia
12710,gmc,door,2017,clean vehicle,25747,white,california
5200,kia,forte,2018,clean vehicle,46194,blue,north carolina
16500,buick,encore,2018,clean vehicle,20002,red,tennessee
5210,ford,mpv,2017,clean vehicle,35714,white,texas
38100,ford,door,2013,clean vehicle,54380,gray,virginia
12520,gmc,door,2017,clean vehicle,30114,white,california
7300,kia,forte,2018,clean vehicle,38823,black,north carolina
15000,chevrolet,door,2015,clean vehicle,61578,black,ohio
6180,ford,mpv,2017,clean vehicle,46010,blue,texas
20800,ford,door,2013,clean vehicle,105510,silver,virginia
11900,gmc,door,2017,clean vehicle,28040,silver,california
21500,kia,sorento,2020,clean vehicle,11451,blue,north carolina
12000,buick,door,2014,clean vehicle,31039,brown,ohio
4190,ford,doors,2017,clean vehicle,44174,white,texas
13000,ford,chassis,2008,clean vehicle,93698,white,tennessee
12710,gmc,door,2017,clean vehicle,26364,silver,california
18500,infiniti,q70,2016,clean vehicle,71967,gray,new york
29800,chevrolet,camaro,1973,clean vehicle,46226,red,pennsylvania
5330,ford,mpv,2017,clean vehicle,37792,no_color,texas
13000,ford,convertible,2003,clean vehicle,58817,gray,virginia
11900,gmc,door,2017,clean vehicle,27965,black,california
16600,mercedes-benz,vans,2016,clean vehicle,110907,white,new york
19200,chevrolet,1500,2018,clean vehicle,2430,white,tennessee
7320,ford,mpv,2017,clean vehicle,32366,gold,texas
7000,ford,pk,2003,clean vehicle,176567,white,tennessee
12710,gmc,door,2017,clean vehicle,30049,white,california
16600,mercedes-benz,vans,2016,clean vehicle,97983,white,new york
30500,chevrolet,1500,2018,clean vehicle,30442,red,tennessee
6330,ford,mpv,2017,clean vehicle,38123,red,texas
55000,ford,srw,2017,clean vehicle,15273,black,pennsylvania
12520,gmc,door,2017,clean vehicle,28972,black,california
16200,jeep,compass,2019,clean vehicle,30061,red,north carolina
19000,chevrolet,malibu,2017,clean vehicle,18414,white,tennessee
5580,dodge,mpv,2017,clean vehicle,46829,gray,texas
54000,ford,srw,2017,clean vehicle,26241,black,pennsylvania
12710,gmc,mpv,2017,clean vehicle,39886,red,california
16000,jeep,compass,2019,clean vehicle,31594,silver,north carolina
27000,buick,enclave,2017,clean vehicle,32107,no_color,tennessee
7760,ford,mpv,2017,clean vehicle,44794,gray,texas
19600,chrysler,300,2019,clean vehicle,42648,gray,south carolina
12920,gmc,mpv,2017,clean vehicle,39165,silver,california
20000,jeep,cherokee,2019,clean vehicle,38355,charcoal,north carolina
18100,buick,door,2017,clean vehicle,46766,silver,florida
23000,chrysler,pacifica,2020,clean vehicle,2473,white,ohio
18500,chrysler,300,2019,clean vehicle,38586,gray,south carolina
13490,gmc,door,2017,clean vehicle,27842,white,california
20700,jeep,cherokee,2019,clean vehicle,31156,white,north carolina
17800,chevrolet,door,2017,clean vehicle,52435,black,florida
6650,ford,door,2017,clean vehicle,29942,black,texas
29100,chrysler,pacifica,2019,clean vehicle,25281,red,south carolina
12710,gmc,door,2017,clean vehicle,32504,silver,california
21100,jeep,cherokee,2019,clean vehicle,28649,silver,north carolina
18600,chevrolet,door,2017,clean vehicle,35200,white,florida
4340,ford,door,2017,clean vehicle,25602,silver,texas
19300,chrysler,300,2019,clean vehicle,34801,gray,south carolina
12780,gmc,door,2017,clean vehicle,31009,black,california
15800,jeep,compass,2019,clean vehicle,35595,charcoal,north carolina
29400,bmw,x3,2017,clean vehicle,23765,black,tennessee
4430,ford,door,2017,clean vehicle,31792,black,texas
19400,chrysler,300,2019,clean vehicle,33135,gray,south carolina
12520,gmc,door,2017,clean vehicle,30636,red,california
15900,jeep,compass,2019,clean vehicle,34502,red,north carolina
26400,buick,door,2017,clean vehicle,25434,white,florida
4140,ford,door,2017,clean vehicle,36732,black,texas
18300,chrysler,300,2019,clean vehicle,41792,gray,south carolina
12520,gmc,door,2017,clean vehicle,31992,black,california
17900,jeep,compass,2019,clean vehicle,32501,red,north carolina
18300,chevrolet,camaro,2017,clean vehicle,28395,black,florida
4640,ford,door,2017,clean vehicle,36139,blue,texas
24000,ford,door,2016,clean vehicle,84413,black,pennsylvania
13200,gmc,door,2017,clean vehicle,33457,white,california
18000,jeep,compass,2019,clean vehicle,29245,gray,north carolina
14900,chevrolet,equinox,2017,clean vehicle,12783,silver,florida
4140,ford,door,2017,clean vehicle,17617,white,texas
11500,ford,door,2016,clean vehicle,36855,black,pennsylvania
9110,ford,door,2017,clean vehicle,110316,white,texas
7350,chrysler,door,2015,clean vehicle,88227,black,pennsylvania
24500,bmw,door,2017,clean vehicle,17626,gray,michigan
9300,ford,door,2017,clean vehicle,120353,white,texas
39800,dodge,challenger,2015,clean vehicle,3641,white,pennsylvania
53500,bmw,m,2017,clean vehicle,29355,blue,michigan
15110,ford,door,2017,clean vehicle,39333,black,texas
34000,ford,door,2015,clean vehicle,42930,white,pennsylvania
26502,chevrolet,colorado,2017,clean vehicle,24993,black,michigan
5990,ford,mpv,2017,clean vehicle,44929,black,texas
13600,ford,focus,2018,clean vehicle,16971,black,south carolina
23605,cadillac,door,2017,clean vehicle,35598,gray,michigan
10780,ford,mpv,2017,clean vehicle,40455,white,texas
13800,ford,focus,2018,clean vehicle,23164,white,south carolina
25201,cadillac,door,2017,clean vehicle,19011,no_color,michigan
7070,ford,mpv,2017,clean vehicle,45191,white,texas
8700,ford,focus,2018,clean vehicle,21405,white,south carolina
18003,chevrolet,malibu,2017,clean vehicle,19117,no_color,michigan
8530,ford,door,2017,clean vehicle,42104,black,texas
23100,dodge,durango,2018,clean vehicle,49496,white,south carolina
24500,cadillac,door,2017,clean vehicle,32418,white,michigan
7000,ford,mpv,2017,clean vehicle,29882,white,texas
17000,ford,escape,2018,clean vehicle,34819,gold,south carolina
34002,chevrolet,1500,2017,clean vehicle,31923,white,michigan
6980,ford,mpv,2017,clean vehicle,29168,gray,texas
25000,dodge,charger,2018,clean vehicle,28307,silver,michigan
20802,chevrolet,colorado,2017,clean vehicle,33791,turquoise,michigan
9200,ford,door,2017,clean vehicle,21770,black,texas
